pdv,fecha,pago,cp,banco
PDV 49789,20211018,500.00,1,BANCO 82
PDV 93737,20211116,20.00,1,BANCO 86
PDV 95008,20210709,35.00,1,BANCO 82
PDV 92933,20210710,80.00,1,BANCO 9
PDV 105461,20211006,5.00,1,BANCO 86
PDV 35170,20211001,900.00,1,BANCO 9
PDV 112131,20230602,10.00,1,BANCO 9
PDV 101715,20230724,100.00,1,BANCO 9
PDV 46605,20220511,60.00,1,BANCO 9
PDV 101849,20220727,50.00,1,BANCO 9
PDV 6286,20220916,100.00,1,BANCO 75
PDV 97469,20221121,200.00,1,BANCO 83
PDV 103406,20221208,110.00,1,BANCO 83
PDV 104237,20230705,100.00,1,BANCO 9
PDV 23664,20211028,150.00,1,BANCO 9
PDV 99791,20210716,50.00,1,BANCO 9
PDV 109422,20220222,50.00,1,BANCO 85
PDV 90752,20211230,14.00,1,BANCO 9
PDV 108499,20220217,100.00,1,BANCO 83
PDV 57743,20220304,1000.00,1,BANCO 82
PDV 106683,20220318,50.00,1,BANCO 9
PDV 106881,20220609,50.00,1,BANCO 9
PDV 99412,20220304,7.00,1,BANCO 9
PDV 41044,20220621,50.00,1,BANCO 9
PDV 6286,20220125,20.00,1,BANCO 86
PDV 49187,20220608,40.00,1,BANCO 75
PDV 108459,20220526,100.00,1,BANCO 9
PDV 108055,20221107,100.00,1,BANCO 9
PDV 94683,20210915,100.00,1,BANCO 82
PDV 47258,20211011,100.00,1,BANCO 85
PDV 103666,20211212,20.00,1,BANCO 9
PDV 99667,20210817,50.00,1,BANCO 9
PDV 45445,20220527,280.00,1,BANCO 75
PDV 99162,20220507,35.00,1,BANCO 83
PDV 106806,20230224,190.00,1,BANCO 82
PDV 1592,20230509,17.00,1,BANCO 2
PDV 110127,20230308,222.00,1,BANCO 74
PDV 103101,20220408,7.00,1,BANCO 82
PDV 103385,20220302,100.00,1,BANCO 83
PDV 99469,20220412,77.31,1,BANCO 87
PDV 97340,20221115,50.00,1,BANCO 82
PDV 110976,20220929,76.00,1,BANCO 9
PDV 40285,20230116,30.00,1,BANCO 82
PDV 101837,20210908,200.00,1,BANCO 9
PDV 103139,20220203,5.00,1,BANCO 9
PDV 104674,20220131,50.00,1,BANCO 9
PDV 108401,20220428,13.00,1,BANCO 83
PDV 43748,20220207,2000.00,1,BANCO 74
PDV 110128,20220422,200.00,1,BANCO 82
PDV 106202,20230306,13.78,1,BANCO 7
PDV 97723,20230403,120.00,1,BANCO 9
PDV 111466,20230411,40.00,1,BANCO 9
PDV 61362,20220310,50.00,1,BANCO 9
PDV 1454,20220704,40.00,1,BANCO 85
PDV 112066,20221223,550.00,1,BANCO 9
PDV 103486,20220708,30.00,1,BANCO 9
PDV 106390,20220319,60.00,1,BANCO 85
PDV 44604,20230426,200.00,1,BANCO 74
PDV 34116,20211108,200.00,1,BANCO 85
PDV 61357,20210829,70.00,1,BANCO 9
PDV 48911,20220622,23.00,1,BANCO 9
PDV 103145,20220225,100.00,1,BANCO 83
PDV 97801,20221220,100.00,1,BANCO 9
PDV 45695,20221111,30.00,1,BANCO 83
PDV 117541,20230504,30.00,1,BANCO 9
PDV 116089,20230113,104.00,1,BANCO 83
PDV 105188,20210721,50.00,1,BANCO 9
PDV 103877,20211227,80.00,1,BANCO 85
PDV 104105,20220808,35.00,1,BANCO 83
PDV 100840,20220919,100.00,1,BANCO 83
PDV 100228,20220829,30.00,1,BANCO 85
PDV 110495,20220916,10.00,1,BANCO 9
