pdv,fecha,pago,cp,banco
PDV 108472,20221120,90.00,1,BANCO 9
PDV 102071,20221111,100.00,1,BANCO 82
PDV 115059,20230203,13.00,1,BANCO 9
PDV 45940,20220609,700.00,1,BANCO 3
PDV 103989,20230524,25.00,1,BANCO 9
PDV 103476,20220925,10.00,1,BANCO 9
PDV 1592,20220317,2.00,1,BANCO 2
PDV 103385,20220317,100.00,1,BANCO 83
PDV 109001,20230521,40.00,1,BANCO 9
PDV 45372,20210909,100.00,1,BANCO 9
PDV 28214,20211029,180.00,1,BANCO 3
PDV 99657,20210823,100.00,1,BANCO 9
PDV 41480,20210701,20.00,1,BANCO 82
PDV 48977,20220427,20.00,1,BANCO 87
PDV 104662,20220430,100.00,1,BANCO 86
PDV 112254,20230622,100.00,1,BANCO 83
PDV 47775,20221207,30.00,1,BANCO 85
PDV 92320,20230629,50.00,1,BANCO 86
PDV 28377,20230331,60.00,1,BANCO 82
PDV 109732,20230707,36.00,1,BANCO 9
PDV 109431,20230731,221.20,1,BANCO 83
PDV 28834,20221201,60.00,1,BANCO 9
PDV 5140,20220411,1000.00,1,BANCO 9
PDV 102035,20220310,180.00,1,BANCO 52
PDV 100291,20220812,20.00,1,BANCO 9
PDV 19654,20221110,50.00,1,BANCO 86
PDV 106781,20230228,250.00,1,BANCO 86
PDV 97970,20230220,30.00,1,BANCO 9
PDV 95330,20210722,19.64,1,BANCO 83
PDV 102410,20211014,200.00,1,BANCO 9
PDV 99497,20211014,226.00,1,BANCO 83
PDV 102426,20211019,5.00,1,BANCO 83
PDV 92476,20220216,200.00,1,BANCO 9
PDV 108532,20220812,40.00,1,BANCO 9
PDV 92147,20221115,16.00,1,BANCO 9
PDV 92498,20230608,36.00,1,BANCO 82
PDV 103688,20230410,30.00,1,BANCO 82
PDV 97743,20210706,200.00,1,BANCO 83
PDV 51169,20211211,40.00,1,BANCO 9
PDV 49621,20210930,195.00,1,BANCO 9
PDV 90439,20220406,80.00,1,BANCO 9
PDV 103546,20220713,40.00,1,BANCO 86
PDV 94853,20221112,20.00,1,BANCO 83
PDV 115015,20221223,100.00,1,BANCO 86
PDV 98499,20230316,115.00,1,BANCO 83
PDV 100609,20230227,50.00,1,BANCO 3
PDV 61357,20230601,19.00,1,BANCO 82
PDV 103687,20230714,110.00,1,BANCO 82
PDV 34285,20210823,200.00,1,BANCO 87
PDV 92799,20211129,49.00,1,BANCO 9
PDV 92892,20220705,19.38,1,BANCO 7
PDV 105173,20220211,40.00,1,BANCO 86
PDV 105001,20220707,50.00,1,BANCO 9
PDV 103769,20220820,25.00,1,BANCO 83
PDV 99299,20230325,80.00,1,BANCO 9
PDV 108754,20220309,500.00,1,BANCO 9
PDV 109732,20230712,59.00,1,BANCO 74
PDV 1592,20230303,206.50,1,BANCO 2
PDV 44960,20230227,105.00,1,BANCO 9
PDV 106400,20220214,240.00,1,BANCO 75
PDV 109031,20230511,30.00,1,BANCO 9
PDV 42872,20230417,60.00,1,BANCO 82
PDV 103969,20221227,60.00,1,BANCO 9
PDV 45605,20210712,600.00,1,BANCO 83
PDV 107707,20220113,30.00,1,BANCO 9
PDV 106417,20220429,50.00,1,BANCO 82
PDV 109387,20220422,50.00,1,BANCO 9
PDV 105927,20220906,5.00,1,BANCO 9
PDV 112163,20220926,40.00,1,BANCO 9
PDV 96208,20230216,111.00,1,BANCO 9
PDV 108169,20230213,70.00,1,BANCO 9
PDV 48210,20221129,15.40,1,BANCO 85
PDV 100209,20220318,100.00,1,BANCO 9
PDV 106305,20230211,100.00,1,BANCO 9
PDV 106502,20230417,36.00,1,BANCO 9
PDV 107965,20230417,50.00,1,BANCO 9
PDV 117448,20230704,40.00,1,BANCO 9
PDV 49980,20210916,112.30,1,BANCO 9
PDV 47343,20211120,100.00,1,BANCO 9
PDV 102094,20220224,70.00,1,BANCO 86
PDV 110305,20220421,50.00,1,BANCO 86
PDV 94540,20220222,76.00,1,BANCO 52
PDV 101843,20220905,50.00,1,BANCO 9
PDV 111829,20220809,50.00,1,BANCO 9
PDV 98478,20220610,310.00,1,BANCO 9
PDV 61357,20220822,30.00,1,BANCO 82
PDV 44708,20220904,100.00,1,BANCO 9
PDV 103652,20221219,46.96,1,BANCO 9
PDV 106579,20221015,10.00,1,BANCO 9
PDV 111727,20230325,10.00,1,BANCO 9
PDV 111820,20230705,27.77,1,BANCO 9
PDV 34170,20211030,350.00,1,BANCO 74
PDV 105699,20210702,200.00,1,BANCO 9
PDV 101837,20211115,200.00,1,BANCO 83
PDV 98345,20210728,14.09,1,BANCO 9
PDV 105997,20210730,50.00,1,BANCO 9
PDV 107972,20220117,14.55,1,BANCO 9
PDV 108296,20220324,30.00,1,BANCO 9
PDV 47786,20211227,500.00,1,BANCO 86
PDV 49221,20221128,3000.00,1,BANCO 9
PDV 102149,20220923,200.00,1,BANCO 9
PDV 99657,20220610,164.00,1,BANCO 9
PDV 1487,20230706,20.00,1,BANCO 9
PDV 50226,20210720,150.00,1,BANCO 85
PDV 97739,20210916,24.00,1,BANCO 9
PDV 47811,20211116,3000.00,1,BANCO 85
PDV 23346,20220104,10.00,1,BANCO 82
PDV 49631,20211218,200.00,1,BANCO 9
PDV 49799,20211206,100.00,1,BANCO 85
PDV 48911,20230531,30.00,1,BANCO 9
PDV 115728,20230129,1050.00,1,BANCO 9
PDV 99410,20221024,21.00,1,BANCO 9
PDV 97427,20230205,69.00,1,BANCO 9
PDV 47577,20221124,200.00,1,BANCO 9
PDV 111955,20221205,50.00,1,BANCO 83
PDV 104798,20230406,75.00,1,BANCO 9
PDV 106925,20230125,100.00,1,BANCO 82
PDV 107924,20220408,100.00,1,BANCO 9
PDV 109919,20220603,150.00,1,BANCO 83
PDV 98935,20220616,50.00,1,BANCO 83
PDV 3,20220825,87.00,1,BANCO 85
PDV 107176,20221101,100.00,1,BANCO 85
PDV 108118,20221226,251.00,1,BANCO 9
PDV 105189,20210713,94.70,1,BANCO 85
PDV 94099,20210809,50.00,1,BANCO 9
PDV 107692,20230525,25.00,1,BANCO 82
PDV 42821,20210901,3000.00,1,BANCO 83
PDV 103945,20210824,25.00,1,BANCO 9
PDV 105628,20210819,50.00,1,BANCO 9
PDV 95249,20220303,30.00,1,BANCO 86
PDV 101844,20220418,30.00,1,BANCO 85
PDV 103762,20220210,34.00,1,BANCO 9
PDV 117942,20230703,85.00,1,BANCO 9
PDV 99014,20230515,99.00,1,BANCO 9
PDV 103996,20230403,200.00,1,BANCO 9
PDV 104835,20220517,20.00,1,BANCO 9
PDV 47251,20221128,208.70,1,BANCO 85
PDV 25026,20221130,100.00,1,BANCO 82
PDV 98020,20220815,50.00,1,BANCO 74
PDV 104636,20230505,20.00,1,BANCO 9
PDV 116913,20230318,50.00,1,BANCO 9
PDV 94157,20211021,20.00,1,BANCO 74
PDV 100242,20211207,41.51,1,BANCO 9
PDV 104837,20211105,30.00,1,BANCO 9
PDV 103426,20220106,40.00,1,BANCO 9
PDV 93375,20211213,50.00,1,BANCO 9
PDV 11400,20210827,20.00,1,BANCO 85
PDV 19867,20220921,690.00,1,BANCO 9
PDV 15898,20220317,2.28,1,BANCO 7
PDV 49144,20221014,105.00,1,BANCO 9
PDV 108426,20220105,75.00,1,BANCO 9
PDV 96426,20211111,60.00,1,BANCO 74
PDV 109077,20220511,22.00,1,BANCO 9
PDV 48696,20220323,30.00,1,BANCO 9
PDV 41000,20220613,50.00,1,BANCO 82
PDV 95768,20221028,40.00,1,BANCO 75
PDV 48423,20211108,480.00,1,BANCO 87
PDV 47908,20220604,220.00,1,BANCO 9
PDV 103612,20220315,100.00,1,BANCO 82
PDV 101525,20220517,30.00,1,BANCO 9
PDV 101034,20221107,50.00,1,BANCO 9
PDV 61357,20230105,32.00,1,BANCO 82
PDV 106279,20230207,20.00,1,BANCO 9
PDV 97862,20221229,30.00,1,BANCO 9
PDV 102864,20230303,17.00,1,BANCO 87
PDV 104665,20211005,71.00,1,BANCO 85
PDV 104842,20211001,150.00,1,BANCO 85
PDV 95650,20210914,142.00,1,BANCO 86
PDV 51185,20220216,300.00,1,BANCO 82
PDV 110398,20220620,50.00,1,BANCO 9
PDV 109384,20221111,60.00,1,BANCO 9
PDV 103370,20230330,50.00,1,BANCO 85
PDV 94240,20221130,140.00,1,BANCO 3
PDV 23664,20230109,250.00,1,BANCO 86
PDV 111224,20221122,115.00,1,BANCO 86
PDV 104568,20220718,100.00,1,BANCO 83
PDV 37206,20221126,40.00,1,BANCO 82
PDV 101874,20221110,20.00,1,BANCO 9
PDV 61382,20210906,60.00,1,BANCO 85
PDV 93345,20220127,155.00,1,BANCO 9
PDV 43877,20220113,60.00,1,BANCO 75
PDV 42583,20220228,100.00,1,BANCO 85
PDV 45551,20220608,5.69,1,BANCO 86
PDV 110231,20220731,5.00,1,BANCO 9
PDV 103424,20221012,13.04,1,BANCO 7
PDV 92894,20221205,200.00,1,BANCO 9
PDV 39176,20220902,80.00,1,BANCO 9
PDV 39658,20220906,50.00,1,BANCO 9
PDV 48759,20221108,1000.00,1,BANCO 9
PDV 46791,20210802,70.00,1,BANCO 9
PDV 107413,20220314,30.00,1,BANCO 9
PDV 99853,20220201,150.00,1,BANCO 85
PDV 102350,20220414,150.00,1,BANCO 83
PDV 38243,20220418,100.00,1,BANCO 9
PDV 97580,20220603,50.00,1,BANCO 9
PDV 94686,20221222,100.00,1,BANCO 83
PDV 90730,20230125,13.48,1,BANCO 7
PDV 110952,20221010,100.00,1,BANCO 9
PDV 101788,20220719,50.00,1,BANCO 9
PDV 109923,20221021,50.00,1,BANCO 83
PDV 1592,20220617,6.00,1,BANCO 2
PDV 111298,20220926,130.00,1,BANCO 82
PDV 108887,20230202,90.00,1,BANCO 3
PDV 106237,20230501,50.00,1,BANCO 9
PDV 93550,20211021,70.00,1,BANCO 82
PDV 91771,20210726,50.00,1,BANCO 9
PDV 105512,20210920,30.00,1,BANCO 9
PDV 90108,20211105,300.00,1,BANCO 82
PDV 49567,20210820,42.00,1,BANCO 9
PDV 102053,20210816,300.00,1,BANCO 83
PDV 97582,20230215,25.00,1,BANCO 82
PDV 109183,20230421,60.00,1,BANCO 75
PDV 47648,20230304,125.00,1,BANCO 9
PDV 104726,20230714,140.00,1,BANCO 9
PDV 103101,20220713,7.00,1,BANCO 9
PDV 45440,20220606,480.00,1,BANCO 9
PDV 13467,20220819,300.00,1,BANCO 83
PDV 98887,20230201,0.96,1,BANCO 7
PDV 109705,20220628,30.00,1,BANCO 9
PDV 105222,20230113,94.00,1,BANCO 75
PDV 101720,20211013,2.00,1,BANCO 9
PDV 40244,20220128,170.90,1,BANCO 9
PDV 109684,20220426,60.00,1,BANCO 82
PDV 43205,20220330,156.00,1,BANCO 86
PDV 31833,20211228,110.00,1,BANCO 9
PDV 100857,20220520,120.00,1,BANCO 9
PDV 104119,20211119,50.00,1,BANCO 82
PDV 50041,20211216,167.00,1,BANCO 9
PDV 15372,20220225,74.00,1,BANCO 83
PDV 104264,20220907,80.00,1,BANCO 86
PDV 93805,20220513,10.00,1,BANCO 9
PDV 99249,20230217,10.00,1,BANCO 130
PDV 100228,20221012,36.00,1,BANCO 85
PDV 111714,20230318,75.00,1,BANCO 9
PDV 101673,20221102,30.00,1,BANCO 86
PDV 104924,20230313,22.00,1,BANCO 9
PDV 43049,20220610,390.00,1,BANCO 82
PDV 106300,20220204,30.00,1,BANCO 82
PDV 107255,20220323,10.00,1,BANCO 82
PDV 111959,20221011,30.00,1,BANCO 9
PDV 98851,20230524,0.56,1,BANCO 7
PDV 109860,20230519,200.00,1,BANCO 9
PDV 30355,20230527,50.00,1,BANCO 9
PDV 103492,20220609,20.00,1,BANCO 82
PDV 107981,20230712,220.00,1,BANCO 75
PDV 90736,20210803,100.00,1,BANCO 9
PDV 10297,20210709,50.00,1,BANCO 82
PDV 107830,20211013,50.00,1,BANCO 86
PDV 107054,20211020,50.00,1,BANCO 82
PDV 104959,20220216,18.00,1,BANCO 9
PDV 102893,20220322,180.00,1,BANCO 83
PDV 111399,20220729,40.00,1,BANCO 9
PDV 104959,20220822,37.00,1,BANCO 9
PDV 50223,20220906,94.45,1,BANCO 83
PDV 106243,20220818,5.00,1,BANCO 9
PDV 98744,20230424,150.00,1,BANCO 82
PDV 94215,20230413,80.00,1,BANCO 85
PDV 1592,20211223,7.00,1,BANCO 2
PDV 99492,20211116,134.03,1,BANCO 87
PDV 101467,20210811,61.00,1,BANCO 86
PDV 108154,20211220,200.00,1,BANCO 9
PDV 100051,20220306,32.46,1,BANCO 7
PDV 33313,20220330,20000.00,1,BANCO 83
PDV 29611,20220517,500.00,1,BANCO 82
PDV 46605,20220728,26.00,1,BANCO 9
PDV 103969,20221006,180.00,1,BANCO 83
PDV 108798,20220617,20.00,1,BANCO 83
PDV 111378,20230726,20.00,1,BANCO 9
PDV 105735,20210901,80.00,1,BANCO 82
PDV 102077,20210727,100.00,1,BANCO 9
PDV 99367,20211219,300.00,1,BANCO 9
PDV 92475,20210722,10.00,1,BANCO 82
PDV 95249,20220323,20.00,1,BANCO 86
PDV 39969,20220504,28.00,1,BANCO 9
PDV 103101,20220720,15.00,1,BANCO 9
PDV 110966,20221124,10.00,1,BANCO 74
PDV 106080,20221105,10.00,1,BANCO 9
PDV 116035,20230608,60.00,1,BANCO 9
PDV 116392,20230611,90.00,1,BANCO 9
PDV 90366,20211011,100.00,1,BANCO 86
PDV 100853,20210729,20.00,1,BANCO 82
PDV 45898,20211030,55.00,1,BANCO 82
PDV 107294,20220329,50.00,1,BANCO 9
PDV 102638,20220708,30.00,1,BANCO 82
PDV 101494,20221027,110.00,1,BANCO 83
PDV 108873,20220606,44.93,1,BANCO 9
PDV 43559,20221014,240.00,1,BANCO 82
PDV 110013,20230512,35.00,1,BANCO 9
PDV 94521,20230301,50.00,1,BANCO 9
PDV 94245,20221125,30.00,1,BANCO 9
PDV 3,20230727,146.50,1,BANCO 85
PDV 107292,20211022,30.00,1,BANCO 9
PDV 103370,20210730,100.00,1,BANCO 85
PDV 45440,20211104,270.00,1,BANCO 9
PDV 103706,20220513,15.00,1,BANCO 9
PDV 111295,20221005,85.00,1,BANCO 83
PDV 116519,20230202,120.00,1,BANCO 9
PDV 110539,20230621,10.00,1,BANCO 9
PDV 99207,20230227,100.00,1,BANCO 9
PDV 111173,20230223,20.00,1,BANCO 9
PDV 111987,20230216,25.00,1,BANCO 9
PDV 50859,20221217,1000.00,1,BANCO 85
PDV 115065,20230712,20.00,1,BANCO 85
PDV 24675,20230731,60.00,1,BANCO 85
PDV 92480,20210907,50.00,1,BANCO 9
PDV 13449,20210722,20.00,1,BANCO 85
PDV 46214,20220526,180.00,1,BANCO 9
PDV 105540,20211228,5.00,1,BANCO 9
PDV 108302,20211208,50.00,1,BANCO 9
PDV 44391,20220131,30.00,1,BANCO 82
PDV 106958,20220525,18.55,1,BANCO 9
PDV 110762,20220602,30.00,1,BANCO 82
PDV 112207,20221206,100.00,1,BANCO 9
PDV 98829,20221221,20.00,1,BANCO 82
PDV 109663,20230727,200.00,1,BANCO 85
PDV 101657,20210906,8.00,1,BANCO 85
PDV 101739,20210812,65.00,1,BANCO 9
PDV 101412,20210722,30.00,1,BANCO 9
PDV 99574,20210817,250.00,1,BANCO 9
PDV 104978,20210827,100.00,1,BANCO 9
PDV 108428,20220405,10.00,1,BANCO 86
PDV 94272,20230324,200.00,1,BANCO 83
PDV 43650,20221012,100.00,1,BANCO 82
PDV 110885,20230309,50.00,1,BANCO 9
PDV 116602,20230728,40.00,1,BANCO 9
PDV 44865,20220412,150.00,1,BANCO 82
PDV 110003,20220705,30.00,1,BANCO 9
PDV 44196,20220901,150.00,1,BANCO 9
PDV 44071,20230103,50.00,1,BANCO 83
PDV 26115,20230103,100.00,1,BANCO 85
PDV 40724,20230214,20.00,1,BANCO 75
PDV 102142,20210709,13.00,1,BANCO 86
PDV 9461,20211029,30.00,1,BANCO 86
PDV 96247,20210705,40.00,1,BANCO 85
PDV 33028,20210727,60.00,1,BANCO 86
PDV 104237,20211115,200.00,1,BANCO 9
PDV 105492,20220419,100.00,1,BANCO 9
PDV 111638,20220808,500.00,1,BANCO 9
PDV 93345,20220505,400.00,1,BANCO 86
PDV 108156,20220825,80.00,1,BANCO 9
PDV 44028,20220906,300.00,1,BANCO 83
PDV 1592,20210811,1.00,1,BANCO 2
PDV 48869,20211105,100.00,1,BANCO 86
PDV 19146,20220513,200.00,1,BANCO 75
PDV 50193,20220524,55.00,1,BANCO 9
PDV 100773,20221007,54.16,1,BANCO 9
PDV 116314,20230529,100.00,1,BANCO 9
PDV 34325,20210823,3000.00,1,BANCO 85
PDV 41015,20210701,29.00,1,BANCO 83
PDV 106390,20210914,100.00,1,BANCO 85
PDV 99699,20211129,60.00,1,BANCO 9
PDV 106812,20210906,12.47,1,BANCO 7
PDV 49459,20220401,58.00,1,BANCO 74
PDV 17643,20220907,30.00,1,BANCO 75
PDV 40011,20220831,19.00,1,BANCO 82
PDV 104690,20230107,820.00,1,BANCO 9
PDV 107392,20230310,30.00,1,BANCO 75
PDV 94791,20230609,120.00,1,BANCO 83
PDV 105087,20230726,400.00,1,BANCO 75
PDV 99476,20210823,151.34,1,BANCO 87
PDV 90110,20211220,100.00,1,BANCO 85
PDV 99150,20211213,31.00,1,BANCO 9
PDV 108426,20220613,110.00,1,BANCO 9
PDV 93664,20220222,100.00,1,BANCO 9
PDV 102142,20220414,5.00,1,BANCO 85
PDV 35803,20210814,25.00,1,BANCO 9
PDV 103594,20210817,20.00,1,BANCO 9
PDV 107272,20220413,20.00,1,BANCO 9
PDV 105918,20220630,20.00,1,BANCO 82
PDV 102092,20220701,60.00,1,BANCO 82
PDV 108365,20230420,20.00,1,BANCO 9
PDV 47974,20230118,160.00,1,BANCO 86
PDV 111059,20230704,20.00,1,BANCO 9
PDV 103424,20221025,17.79,1,BANCO 7
PDV 1592,20220606,130.25,1,BANCO 2
PDV 101191,20220830,27.30,1,BANCO 82
PDV 105104,20221125,50.00,1,BANCO 86
PDV 107694,20220214,60.00,1,BANCO 52
PDV 108508,20230318,100.00,1,BANCO 83
PDV 42821,20220104,3000.00,1,BANCO 83
PDV 20378,20210723,200.00,1,BANCO 75
PDV 107438,20220415,10.00,1,BANCO 9
PDV 100015,20220726,250.00,1,BANCO 83
PDV 107454,20220917,61.60,1,BANCO 9
PDV 46341,20220902,50.00,1,BANCO 82
PDV 111763,20220921,10.00,1,BANCO 86
PDV 105018,20230213,50.00,1,BANCO 74
PDV 108871,20221101,100.00,1,BANCO 9
PDV 108100,20230718,100.00,1,BANCO 9
PDV 111443,20220822,337.00,1,BANCO 82
PDV 99697,20220524,40.00,1,BANCO 82
PDV 109454,20220803,30.00,1,BANCO 82
PDV 107051,20221223,50.00,1,BANCO 9
PDV 90021,20221222,800.00,1,BANCO 9
PDV 111042,20220629,110.00,1,BANCO 9
PDV 37106,20210904,70.00,1,BANCO 9
PDV 45424,20211014,80.00,1,BANCO 87
PDV 106077,20210730,60.00,1,BANCO 9
PDV 46341,20210828,30.00,1,BANCO 9
PDV 101085,20211201,100.00,1,BANCO 85
PDV 99013,20210816,30.00,1,BANCO 82
PDV 106488,20230412,60.00,1,BANCO 9
PDV 31133,20230201,60.00,1,BANCO 82
PDV 48731,20230722,120.00,1,BANCO 82
PDV 29697,20211228,40.00,1,BANCO 85
PDV 98014,20220731,20.00,1,BANCO 9
PDV 47908,20220927,100.00,1,BANCO 9
PDV 36551,20221012,50.00,1,BANCO 9
PDV 97737,20221124,1000.00,1,BANCO 9
PDV 101844,20230112,220.00,1,BANCO 9
PDV 101060,20211130,100.00,1,BANCO 9
PDV 100833,20211108,40.00,1,BANCO 75
PDV 50428,20211213,150.00,1,BANCO 83
PDV 105698,20210724,30.00,1,BANCO 83
PDV 108153,20220515,80.00,1,BANCO 82
PDV 105023,20220613,200.00,1,BANCO 9
PDV 107176,20230508,100.00,1,BANCO 85
PDV 105893,20220223,20.00,1,BANCO 9
PDV 101788,20220520,60.00,1,BANCO 82
PDV 106451,20220326,20.00,1,BANCO 9
PDV 106768,20220703,34.27,1,BANCO 9
